run_name,method,prompt_style,count,rouge1,rouge2,rougeL,bertscore_f1,bertscore_status,format_validity,field_completion_rate,avg_prediction_words,avg_reference_words,avg_compression_ratio
single_pass,textrank,faithful_abstract,2,0.3591,0.1688,0.3364,,unavailable: [Errno 1] Operation not permitted: '/Users/mohammadrezakarami/.cache/huggingface/evaluate',0.0,0.0833,17.5,22.0,0.7899
hierarchical,textrank,faithful_abstract,2,0.3846,0.1628,0.2291,,unavailable: [Errno 1] Operation not permitted: '/Users/mohammadrezakarami/.cache/huggingface/evaluate',0.0,0.0,43.5,22.0,1.9741
